year,ward_name,registered_voters_total,ballots_cast_total
2020,City of Milwaukee Ward 135 ,1529,1278
2020,City of Milwaukee Ward 136 ,1213,889
2020,City of Milwaukee Ward 137 ,841,659
2020,City of Milwaukee Ward 138 ,2463,1942
2020,City of Milwaukee Ward 139 ,1726,1311
2020,City of Milwaukee Ward 140 ,572,373
2020,City of Milwaukee Ward 141 ,771,570
2020,City of Milwaukee Ward 142 ,833,631
2020,City of Milwaukee Ward 143 ,655,470
2020,City of Milwaukee Ward 144 ,531,350
2020,City of Milwaukee Ward 145 ,322,213
2020,City of Milwaukee Ward 146 ,276,188
2020,City of Milwaukee Ward 147 ,1119,730
2020,City of Milwaukee Ward 148 ,798,554
2020,City of Milwaukee Ward 149 ,1008,675
2020,City of Milwaukee Ward 150 ,848,594
2020,City of Milwaukee Ward 151 ,581,414
2020,City of Milwaukee Ward 152 ,553,357
2020,City of Milwaukee Ward 153 ,871,671
2020,City of Milwaukee Ward 154 ,756,523
2020,City of Milwaukee Ward 155 ,717,472
2020,City of Milwaukee Ward 156 ,1027,697
2020,City of Milwaukee Ward 157 ,696,503
2020,City of Milwaukee Ward 158 ,625,459
2020,City of Milwaukee Ward 159 ,617,452
2020,City of Milwaukee Ward 160 ,772,554
2020,City of Milwaukee Ward 161 ,248,190
2020,City of Milwaukee Ward 162 ,509,349
2020,City of Milwaukee Ward 163 ,873,617
2020,City of Milwaukee Ward 164 ,1036,794
2020,City of Milwaukee Ward 165 ,1015,773
2020,City of Milwaukee Ward 166 ,401,318
2020,City of Milwaukee Ward 167 ,980,815
2020,City of Milwaukee Ward 168 ,1754,1503
2020,City of Milwaukee Ward 169 ,698,447
2020,City of Milwaukee Ward 170 ,531,375
2020,City of Milwaukee Ward 171 ,237,147
2020,City of Milwaukee Ward 172 ,628,436
2020,City of Milwaukee Ward 173 ,782,598
2020,City of Milwaukee Ward 174 ,1122,833
2020,City of Milwaukee Ward 175 ,729,574
2020,City of Milwaukee Ward 176 ,972,713
2020,City of Milwaukee Ward 177 ,2673,2187
2020,City of Milwaukee Ward 178 ,2062,1732
2020,City of Milwaukee Ward 179 ,2013,1560
2020,City of Milwaukee Ward 180 ,1493,1190
2020,City of Milwaukee Ward 181 ,2012,1657
2020,City of Milwaukee Ward 182 ,2064,1628
2020,City of Milwaukee Ward 183 ,3071,2456
2020,City of Milwaukee Ward 184 ,1842,1509
2020,City of Milwaukee Ward 185 ,2603,2015
2020,City of Milwaukee Ward 186 ,3072,2544
2020,City of Milwaukee Ward 187 ,939,735
2020,City of Milwaukee Ward 188 ,728,570
2020,City of Milwaukee Ward 189 ,964,783
2020,City of Milwaukee Ward 190 ,1448,918
2020,City of Milwaukee Ward 191 ,932,550
2020,City of Milwaukee Ward 192 ,1307,829
2020,City of Milwaukee Ward 193 ,818,562
2020,City of Milwaukee Ward 194 ,714,502
2020,City of Milwaukee Ward 195 ,665,426
2020,City of Milwaukee Ward 196 ,1065,723
2020,City of Milwaukee Ward 197 ,436,316
2020,City of Milwaukee Ward 198 ,1087,618
2020,City of Milwaukee Ward 199 ,698,502
2020,City of Milwaukee Ward 200 ,509,387
2020,City of Milwaukee Ward 201 ,510,344
2020,City of Milwaukee Ward 202 ,943,780
2020,City of Milwaukee Ward 203 ,1176,1017
2020,City of Milwaukee Ward 204 ,1036,879
2020,City of Milwaukee Ward 205 ,922,793
2020,City of Milwaukee Ward 206 ,736,655
2020,City of Milwaukee Ward 207 ,865,730
2020,City of Milwaukee Ward 208 ,988,835
2020,City of Milwaukee Ward 209 ,865,763
2020,City of Milwaukee Ward 210 ,818,691
2020,City of Milwaukee Ward 211 ,933,771
2020,City of Milwaukee Ward 212 ,1046,843
2020,City of Milwaukee Ward 213 ,1085,884
2020,City of Milwaukee Ward 214 ,532,441
2020,City of Milwaukee Ward 215 ,512,383
2020,City of Milwaukee Ward 216 ,448,314
2020,City of Milwaukee Ward 217 ,861,686
2020,City of Milwaukee Ward 218 ,977,736
2020,City of Milwaukee Ward 219 ,658,511
2020,City of Milwaukee Ward 220 ,696,525
2020,City of Milwaukee Ward 221 ,1252,991
2020,City of Milwaukee Ward 222 ,843,597
2020,City of Milwaukee Ward 223 ,893,666
2020,City of Milwaukee Ward 224 ,713,472
2020,City of Milwaukee Ward 225 ,675,461
2020,City of Milwaukee Ward 226 ,386,252
2020,City of Milwaukee Ward 227 ,990,715
2020,City of Milwaukee Ward 228 ,553,366
2020,City of Milwaukee Ward 229 ,534,340
2020,City of Milwaukee Ward 230 ,879,592
2020,City of Milwaukee Ward 231 ,423,273
2020,City of Milwaukee Ward 232 ,350,230
2020,City of Milwaukee Ward 233 ,301,206
2020,City of Milwaukee Ward 234 ,688,588
2020,City of Milwaukee Ward 235 ,2116,1768
2020,City of Milwaukee Ward 236 ,632,456
2020,City of Milwaukee Ward 237 ,872,593
2020,City of Milwaukee Ward 238 ,703,490
2020,City of Milwaukee Ward 239 ,664,441
2020,City of Milwaukee Ward 240 ,801,577
2020,City of Milwaukee Ward 241 ,1554,1299
2020,City of Milwaukee Ward 242 ,1069,921
2020,City of Milwaukee Ward 243 ,1215,1085
2020,City of Milwaukee Ward 244 ,1006,862
2020,City of Milwaukee Ward 245 ,815,702
2020,City of Milwaukee Ward 246 ,1454,1266
2020,City of Milwaukee Ward 247 ,762,636
2020,City of Milwaukee Ward 248 ,1516,1262
2020,City of Milwaukee Ward 249 ,610,366
2020,City of Milwaukee Ward 250 ,484,347
2020,City of Milwaukee Ward 251 ,373,238
2020,City of Milwaukee Ward 252 ,627,458
2020,City of Milwaukee Ward 253 ,282,210
2020,City of Milwaukee Ward 254 ,299,194
2020,City of Milwaukee Ward 255 ,362,256
2020,City of Milwaukee Ward 256 ,447,274
2020,City of Milwaukee Ward 257 ,898,628
2020,City of Milwaukee Ward 258 ,967,724
2020,City of Milwaukee Ward 259 ,646,511
2020,City of Milwaukee Ward 260 ,467,405
2020,City of Milwaukee Ward 261 ,604,523
2020,City of Milwaukee Ward 262 ,1243,1065
2020,City of Milwaukee Ward 263 ,710,579
2020,City of Milwaukee Ward 264 ,1342,1185
2020,City of Milwaukee Ward 265 ,723,629
2020,City of Milwaukee Ward 266 ,843,722
2020,City of Milwaukee Ward 267 ,723,658
2020,City of Milwaukee Ward 268 ,1658,1455
2020,City of Milwaukee Ward 269 ,978,861
2020,City of Milwaukee Ward 270 ,931,801
2020,City of Milwaukee Ward 271 ,1695,1476
2020,City of Milwaukee Ward 272 ,1190,1096
2020,City of Milwaukee Ward 273 ,671,612
2020,City of Milwaukee Ward 274 ,702,611
2020,City of Milwaukee Ward 275 ,1660,1425
